게임이름,게임순위,총 평가,긍정적인 평가 비율,출시일,앞서 해보기 출시 일자,app_id
Ticy Adventure Club : Queen of the Spring,1714,289,99,"30 Apr, 2025",,2448980
Granblue Fantasy: Versus,1715,7642,83,"14 Mar, 2020",,1090630
Project Nimbus: Complete Edition,1716,1405,85,"27 Sep, 2017",,257030
Buccaneers!,1717,356,83,"8 Mar, 2022",,1148560
Hinterland,1718,216,81,"30 Sep, 2008",,17140
Lenna's Inception,1719,239,88,"18 Jan, 2020",,1114870
Touhou Blooming Chaos 2,1720,2113,92,"17 Apr, 2020","17 Apr, 2020",1260810
Paradise Killer,1721,2940,93,"4 Sep, 2020",,1160220
Our world has not decayed,1722,362,85,"26 Oct, 2019",,1116210
Time Survivors: Chapter 0,1723,164,81,"19 Sep, 2023",,2455500
Hellslave,1724,589,80,"26 May, 2022",,1608450
ALONE,1725,184,88,"31 May, 2021",,1544540
Cave Crawlers,1726,2897,93,"11 Jul, 2023","11 Jul, 2023",2143030
Learn Japanese To Survive! Kanji Combat,1727,285,84,"2 Aug, 2018",,759440
Himno - The Silent Melody,1728,271,82,"21 Oct, 2021","21 Oct, 2021",1079230
World Of Mystery,1729,161,86,"12 Apr, 2023","8 Jan, 2023",2194400
Immortal Planet,1730,170,82,"28 Jul, 2017",,631980
Star Valor,1731,2590,89,"4 Aug, 2022","14 Jul, 2018",833360
Vanity Fair: The Pursuit,1732,3468,88,"20 Feb, 2024",,2758000
Ring of Pain,1733,3078,92,"16 Oct, 2020",,998740
月圆之夜 (Night of Full Moon),1734,10415,82,"26 Jul, 2019",,769560
Buccaneers! The New Age of Piracy,1735,139,80,"3 Mar, 2022",,1631240
CaseCracker,1736,2741,91,"19 Dec, 2022","19 May, 2022",1723260
Pretty Neko,1737,2682,93,"20 Feb, 2020",,1212620
Crypt of the Serpent King,1738,242,80,"27 Dec, 2016",,528730
Adventure Craft,1739,217,81,"6 Jul, 2017",,624890
Organ Trail: Director's Cut,1740,2326,89,"20 Mar, 2013",,233740
Sagres,1741,175,80,"19 Sep, 2023","3 Apr, 2023",2120310
Prison Simulator,1742,2045,87,"4 Nov, 2021",,842180
Pretty Angel,1743,3190,92,"13 Dec, 2019",,1148510
Citizen Sleeper 2: Starward Vector,1744,1245,93,"1 Feb, 2025",,2442460
Space Pilgrim Episode III: Delta Pavonis,1745,339,89,"4 Feb, 2016",,439250
Calico,1746,3082,89,"16 Dec, 2020",,1112890
Choice Chamber,1747,122,89,"17 Jul, 2015",,359960
Gorky 17,1748,887,85,"31 Dec, 1999",,253920
Pathologic Classic HD,1749,3448,88,"29 Oct, 2015",,384110
Age of Wonders III,1750,6905,81,"1 Apr, 2014",,226840
Drakkar Crew,1751,128,82,"29 Jun, 2024","28 Mar, 2023",879050
Plantera,1752,4388,88,"29 Jan, 2016",,421040
Hammerwatch,1753,3616,88,"13 Aug, 2013",,239070
Niche - a genetics survival game,1754,4151,88,"15 Sep, 2016",,440650
Re:ZERO -Starting Life in Another World- The Prophecy of the Throne,1755,690,86,"28 Jan, 2021",,1277510
Potions: A Curious Tale,1756,320,89,"8 Mar, 2024",,378690
千面 Melancholy Love,1757,2007,94,"3 Jan, 2020",,1168470
Curious Expedition 2,1758,3573,88,"28 Jan, 2021","17 Jun, 2020",1040230
CHANGE: A Homeless Survival Experience,1759,2348,91,"2 May, 2020",,926140
Apotheon,1760,3185,90,"4 Feb, 2015",,208750
Curious Expedition,1761,3741,91,"2 Sep, 2016",,358130
Song of Nunu: A League of Legends Story,1762,2372,94,"2 Nov, 2023",,1333200
Magicite,1763,5789,85,"10 Jun, 2014",,268750
Pixel Survivors : Roguelike,1764,357,80,"25 Feb, 2023","1 Jul, 2022",1995870
Home Behind,1765,4860,84,"3 Jun, 2016",,467960
Wildmender,1766,1495,86,"29 Sep, 2023",,1599330
Eastshade,1767,4819,89,"13 Feb, 2019",,715560
Hero of the Kingdom II,1768,1806,94,"21 Feb, 2015",,346560
Legionwood 1: Tale of the Two Swords,1769,186,84,"11 May, 2016",,461820
I'a I'a Cofflhu Fhtagnyaa,1770,274,83,"5 Jan, 2021",,1373320
