game_appid,game_name,total_review,total_review_positive,eng_review,eng_review_positive,released_date,early_access_release_date
1815530,Dungeon Defenders: Going Rogue,271,42,242,39,20250110000000,20220329000000
42170,Krater,649,56,553,52,20120612000000,
1532690,BLACKTAIL,1644,83,1112,81,20221215000000,
1538970,Hammerwatch II,1762,61,1121,64,20230815000000,
1913370,OPERATOR,2470,79,2193,80,20230801000000,20230801000000
679270,Antaria Online,338,63,219,58,20171004000000,
574180,Rem Survival,704,75,432,77,20210305000000,20210305000000
1496790,Gotham Knights,14545,68,15604,68,20221021000000,
277870,Diehard Dungeon,425,73,339,71,20120911000000,
526180,Deus Ex: Mankind Divided - VR Experience,295,48,207,48,20170125000000,
403970,The Dwarves,1145,74,872,69,20161201000000,
492290,Has-Been Heroes,256,79,213,74,20170328000000,
392080,Wayward Terran Frontier: Zero Falls,455,68,373,66,20160211000000,
547680,Guild Quest,1723,65,1037,60,20170126000000,
904360,Family Man,305,77,399,69,20200522000000,
1239020,TOGETHER BnB,7475,58,405,57,20210409000000,20210409000000
739080,9 Monkeys of Shaolin,655,85,227,85,20201016000000,
733460,First Feudal,555,75,236,72,20210408000000,20171130000000
640150,Tale of Toast,762,51,542,48,20180223000000,
636100,Tesla vs Lovecraft,828,89,667,91,20180126000000,
1451080,DUNGEON ENCOUNTERS,449,69,325,75,20211014000000,
377330,Close Your Eyes [Old Version],773,86,542,86,20150831000000,
1759380,Bandle Tale: A League of Legends Story,1042,78,656,78,20240221000000,
1241520,The Horrorscope,1080,94,995,94,20200309000000,
2088570,Tiny Rogues,9280,96,7309,96,20220923000000,20220923000000
24400,King Arthur - The Role-playing Wargame,432,67,386,68,20091124000000,
863570,Super Seducer 2 - Advanced Seduction Tactics,1551,82,558,85,20180913000000,
211580,Wanderlust: Rebirth,258,51,390,50,20110614000000,
2095300,Breakout 13,6653,87,259,86,20230108000000,
39500,Gothic 3,8337,79,2375,71,20061013000000,
712190,Genesis Alpha One Deluxe Edition,1467,73,1439,64,20200225000000,
263200,Signs of Life,691,76,571,76,20140127000000,
871100,Animyst,437,85,383,86,20180702000000,
271760,Dungeon Lords Steam Edition,544,77,469,77,20050501000000,
623310,Arcfall,349,55,226,57,20170516000000,
848030,Roundguard,434,81,405,80,20200313000000,
223330,Sea Dogs: To Each His Own,1900,71,462,58,20160212000000,
1123050,GRIME,3984,86,2801,88,20210802000000,
305960,Dragon: The Game,656,28,665,29,20141107000000,
314830,Blackguards 2,848,64,464,65,20150120000000,
270270,Frozen State,513,62,289,58,20160805000000,
1159420,Robin Hood - Sherwood Builders,852,68,426,68,20240229000000,
1350840,Song Of The Prairie,1218,78,481,79,20240731000000,20230406000000
246760,Legends of Eisenwald,1364,76,667,65,20150702000000,
1076750,Dream Engines: Nomad Cities,508,74,266,76,20240509000000,20210714000000
924070,Arboria,526,78,552,76,20210909000000,20200507000000
109600,Neverwinter,38577,77,18392,74,20131205000000,
2085360,Insomnia: Theater in the Head,2410,97,283,96,20221215000000,
664000,HammerHelm,322,77,264,80,20210429000000,20170727000000
1224700,Kingpin: Reloaded,337,36,229,35,20231205000000,
225360,DARK,710,54,633,47,20130703000000,
2010030,Denizen,687,76,357,79,20240429000000,20240429000000
310890,Breach & Clear: Deadline Rebirth (2016),708,53,531,53,20150720000000,
903950,Last Oasis,20352,63,12943,67,20200326000000,20200326000000
380750,Anima: Gate of Memories,559,69,303,66,20160602000000,
618850,Pumpkin Days,452,82,342,80,20210201000000,20190731000000
311290,SpellForce 3 Reforced,5520,76,3351,75,20171207000000,
278620,TinyKeep,254,66,303,64,20140929000000,
204360,Castle Crashers,96472,96,53005,96,20120926000000,
1398390,SPACE / MECH / PILOT,447,84,352,84,20201013000000,
574050,DRAGON QUEST HEROES II,659,69,474,69,20170425000000,
1133760,CHRONO CROSS: THE RADICAL DREAMERS EDITION,1868,62,1484,60,20220407000000,
256030,Shadows: Heretic Kingdoms,285,57,205,55,20141120000000,
264280,99 Levels To Hell,335,59,340,52,20140219000000,
1824580,Dungeon Drafters,518,76,399,75,20230427000000,
307290,Velvet Sundown,1768,60,1528,61,20140722000000,
224440,Folk Tale,2814,36,2344,36,,
402310,Overfall,347,76,560,46,20160301000000,
987230,Shadow Legend VR,497,78,364,74,20190307000000,
813630,Supraland,10381,96,6135,94,20190405000000,
892510,Slay Together,526,68,280,67,20190131000000,20190131000000
41900,The Bard's Tale ARPG: Remastered and Resnarkled,915,77,973,73,20050617000000,
237890,Agarest: Generations of War,1646,71,1336,68,20140204000000,
452230,Spellstone,455,63,205,59,20161114000000,
1097530,Mortal Glory,542,86,348,89,20200129000000,
20510,S.T.A.L.K.E.R.: Clear Sky,17347,85,6381,80,20080915000000,
394450,"Warhammer 40,000: Deathwatch - Enhanced Edition",847,69,488,67,20151016000000,
666020,Shark Dating Simulator XL+,647,88,802,87,20170814000000,
407560,Killing Room,1240,71,688,64,20161020000000,
1832640,Mirror 2: Project X,112347,24,2612,47,20220120000000,20220120000000
251950,WWII Online,3713,50,2004,49,20230706000000,20170905000000
949200,Ambition: A Minuet in Power,298,83,339,84,20210818000000,
361800,Tree of Life,6691,65,2311,62,20170817000000,
1334700,tomorrow won't come for those without ██████,850,94,328,96,20200523000000,
760650,Hammerting,1690,58,1526,53,20211116000000,20201027000000
352220,King of Dragon Pass,379,79,409,79,20150728000000,
250580,Paranautical Activity: Deluxe Atonement Edition,584,70,1095,67,20130214000000,
2068280,Nordic Ashes: Survivors of Ragnarok,5805,88,1831,89,20240426000000,20221215000000
566860,VR Dungeon Knight,1333,75,1205,74,20170424000000,
1981820,Strike Force Heroes,3482,80,1356,89,20231110000000,
1379020,The Horrorscope: Fatal Awakening,408,92,382,93,20200824000000,
346750,Merchant,573,77,379,73,20150101000000,
376570,WildStar,126,65,3523,80,20140603000000,
1277920,The Blocky Ages,1239,50,1019,51,20230501000000,20200425000000
390100,9Dragons,535,67,356,62,20170214000000,
686440,Hard Time,279,88,230,90,20131001000000,
290890,You Must Build A Boat,809,81,717,81,20150604000000,
365590,Tom Clancy’s The Division,73484,71,31129,71,20160308000000,
295850,Vlad the Impaler,417,73,311,68,20140717000000,
1206600,Almighty: Kill Your Gods,314,63,316,61,20210506000000,
409000,Mystery Chronicle: One Way Heroics,392,60,229,62,20160912000000,
226740,Monster Loves You!,807,78,1022,78,20130318000000,
2561580,Horizon Zero Dawn Remastered,3198,80,1818,81,20241031000000,
1173220,Bleak Faith: Forsaken,2442,74,1787,74,20230310000000,
494840,UBOAT,22077,83,10712,85,20240802000000,20190430000000
629910,Clicker Heroes 2,2817,53,1560,53,20180716000000,
943260,Stranded Sails - Explorers of the Cursed Islands,748,72,503,78,20191017000000,
1128000,Cube World,9770,43,11489,32,20190930000000,
2118810,Breachway,934,75,683,81,20240926000000,
1373550,BloodRayne 2: Terminal Cut,804,79,445,76,20201120000000,
375460,16bit Trader,528,41,993,50,20150604000000,
617850,Jaws Of Extinction,275,55,228,58,20190523000000,20190523000000
757310,Sable,4672,87,4172,86,20210923000000,
1713810,Lumencraft,1000,76,594,76,20230228000000,20220413000000
